r,r1,r2,r3,r4,r5,r6,r7,r8,n1,n2,n3,n4,n5,n6,n7,n8
74.56833667334669,5.482965931863728,6.579559118236473,7.676152304609218,8.772745490981963,9.86933867735471,10.965931863727455,12.062525050100199,13.159118236472946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.34509018036071,5.54008016032064,6.648096192384768,7.756112224448897,8.864128256513025,9.972144288577153,11.08016032064128,12.18817635270541,13.296192384769537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.12184368737475,5.597194388777555,6.716633266533066,7.836072144288577,8.955511022044089,10.0749498997996,11.19438877755511,12.31382765531062,13.433266533066131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.89859719438877,5.654308617234469,6.785170340681362,7.916032064128256,9.046893787575149,10.177755511022044,11.308617234468938,12.439478957915831,13.570340681362724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.6753507014028,5.711422845691383,6.853707414829659,7.995991983967936,9.138276553106213,10.280561122244489,11.422845691382767,12.565130260521041,13.707414829659317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.45210420841683,5.768537074148296,6.922244488977955,8.075951903807614,9.229659318637275,10.383366733466932,11.537074148296592,12.690781563126253,13.84448897795591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.22885771543086,5.825651302605211,6.990781563126252,8.155911823647296,9.321042084168337,10.486172344689379,11.651302605210422,12.816432865731462,13.981563126252505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.00561122244488,5.882765531062123,7.059318637274549,8.235871743486973,9.412424849699399,10.588977955911822,11.765531062124246,12.942084168336672,14.118637274549098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.78236472945892,5.939879759519037,7.127855711422845,8.315831663326653,9.50380761523046,10.69178356713427,11.879759519038075,13.067735470941884,14.25571142284569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.55911823647294,5.996993987975952,7.196392785571142,8.395791583166332,9.595190380761522,10.794589178356713,11.993987975951905,13.193386773547093,14.392785571142284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.33587174348698,6.054108216432867,7.264929859719439,8.475751503006013,9.686573146292586,10.89739478957916,12.108216432865733,13.319038076152305,14.529859719438878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
